,Metric,CLIMATIC_1_1,CLIMATIC_1_15,CLIMATIC_1_30,CLIMATIC_2_1,CLIMATIC_2_15,CLIMATIC_2_30,CLIMATIC_3_1,CLIMATIC_3_15,CLIMATIC_3_30
Auto-TSF,NRMSE,0.25,0.44,0.37,0.23,0.26,0.38,0.30,0.36,0.45
Auto-TSF*,NRMSE,0.06,0.37,7.37,1.61,1.97,0.57,0.72,0.71,0.63
PYCARET,NRMSE,0.27,0.59,0.40,0.27,0.27,0.23,0.56,0.65,0.60
FEDOT,NRMSE,**,**,**,**,**,**,0.70,0.64,0.74
AUTOTS,NRMSE,*,*,*,0.23,0.30,0.21,0.21,0.23,0.19
RF,NRMSE,0.25,0.26,0.16,0.30,0.43,0.45,0.60,0.61,0.60
XGBOOST,NRMSE,0.27,0.26,0.16,0.35,0.39,0.45,0.59,0.58,0.59
LIGHTGBM,NRMSE,0.28,0.26,0.15,0.27,0.34,0.44,0.62,0.60,0.58
LSTM,NRMSE,0.54,0.81,0.62,0.52,0.40,0.45,0.71,0.64,0.65
TCN,NRMSE,0.06,0.17,0.26,2.00,1.68,1.68,0.71,0.70,0.66
NBEATS,NRMSE,0.06,0.22,0.22,1.86,2.56,2.15,0.19,0.24,0.18
TFT,NRMSE,0.07,0.16,0.13,0.22,0.35,0.31,0.28,0.40,0.35