Dataset,Auto-TSF,Auto-TSF*,PYCARET,FEDOT,AUTOTS,RF,XGBOOST,LIGHTGBM,LSTM,TCN,NBEATS,TFT
ECONOMICS_1_1,0.09,0.07,0.07,0.16,0.09,0.11,0.06,0.05,0.4,0.41,0.08,0.06
ECONOMICS_1_15,0.47,0.33,0.35,0.28,0.33,0.11,0.17,0.18,0.38,0.3,0.36,0.33
ECONOMICS_1_30,0.28,0.25,0.23,0.31,0.28,0.2,0.28,0.25,0.41,0.3,0.22,0.16
ECONOMICS_2_1,0.22,0.02,0.007,0.04,0.03,0.03,0.03,0.03,0.69,0.73,0.29,0.71
ECONOMICS_2_15,0.25,0.03,0.04,0.05,0.05,0.03,0.03,0.03,379.27,0.61,0.32,0.03
ECONOMICS_2_30,0.3,0.09,0.1,0.1,0.11,0.05,0.06,0.06,0.32,1.1,0.29,0.08
ECONOMICS_3_1,0.15,0.02,0.28,0.12,0.23,0.05,0.04,0.04,0.41,0.86,0.27,0.02
ECONOMICS_3_15,0.29,0.05,0.32,0.14,0.23,0.07,0.08,0.06,0.38,0.85,0.27,0.06
ECONOMICS_3_30,0.33,0.09,0.87,0.2,0.12,0.04,0.04,0.04,0.4,0.86,0.2,1.87
ECONOMICS_4_1,0.12,0.02,0.03,0.19,0.06,0.13,0.13,0.13,0.3,0.82,0.24,0.03
ECONOMICS_4_15,0.12,0.07,0.08,0.24,0.1,0.1,0.1,0.1,0.33,0.86,0.25,0.08
ECONOMICS_4_30,0.21,0.09,0.1,0.23,0.16,0.08,0.08,0.08,0.31,0.83,0.23,0.11
ECONOMICS_5_1,0.11,0.04,0.02,0.4,0.11,0.11,0.1,0.1,0.64,0.82,0.23,0.02
ECONOMICS_5_15,0.12,0.07,0.06,0.45,0.13,0.08,0.08,0.07,0.3,0.83,0.23,0.06
ECONOMICS_5_30,0.18,0.1,0.08,0.45,0.11,0.05,0.05,0.06,0.3,0.82,0.22,0.08