,Metric,ENERGY_1_1,ENERGY_15,ENERGY_30,ENERGY_2_1,ENERGY_2_15,ENERGY_2_30,ENERGY_3_1,ENERGY_3_15,ENERGY_3_30,ENERGY_4_1,ENERGY_4_15,ENERGY_4_30,ENERGY_5_1,ENERGY_5_15,ENERGY_5_30
AutoDCE-TS,NRMSE,0.08,0.37,0.51,0.21,0.23,0.64,0.08,0.29,0.45,0.13,0.38,0.51,0.13,0.26,0.33
AutoCE-TS,NRMSE,2.14,6.21,2.19,0.83,0.57,0.81,0.37,4.2,0.4,0.55,3.44,0.62,1.74,1.27,2.18
PYCARET,NRMSE,0.1,0.4,0.43,0.27,0.58,0.41,0.22,0.44,0.51,0.11,0.36,0.43,0.07,0.42,0.13
FEDOT,NRMSE,03.02,2.79,1.75,**,**,**,**,**,**,**,**,**,**,**,**
AUTOTS,NRMSE,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RF,NRMSE,0.47,0.45,0.26,0.33,0.5,0.4,0.33,0.41,0.24,0.26,0.31,0.25,0.23,0.32,0.27
XGBOOST,NRMSE,0.52,0.47,0.26,0.29,0.57,0.36,0.3,0.43,0.32,0.27,0.28,0.24,0.17,0.23,0.12
LIGHTGBM,NRMSE,0.52,0.48,0.26,0.3,0.56,0.35,0.29,0.43,0.32,0.27,0.31,0.25,0.2,0.23,0.12
LSTM,NRMSE,0.32,0.44,0.48,0.47,0.35,0.37,0.47,0.48,0.54,0.51,0.52,0.58,0.2,0.27,0.15
TCN,NRMSE,5.92,8.1,10.83,0.83,0.79,0.81,0.43,0.35,0.49,0.54,0.49,0.6,2.43,1.84,6.73
NBEATS,NRMSE,7.6,12.34,233.96,0.83,0.79,0.81,0.42,0.33,0.48,0.54,0.48,0.59,2.58,2.71,9.91
TFT,NRMSE,0.12,0.55,0.55,0.09,0.39,0.51,0.12,0.21,0.48,0.23,0.32,0.56,0.07,0.16,0.14